SPECIES,LATITUDE,LONGITUDE
"Myotis nattereri (Kuhl 1817)",41.238374,-7.420261
"Myotis nattereri (Kuhl 1817)",41.239885,-7.421557000000001
"Myotis nattereri (Kuhl 1817)",41.334496,-7.3280199999999995
"Myotis nattereri (Kuhl 1817)",41.334496,-7.328127
"Myotis nattereri (Kuhl 1817)",41.334584,-7.327839
"Myotis nattereri (Kuhl 1817)",41.245691,-7.411055
"Myotis nattereri (Kuhl 1817)",41.670002000000004,-6.844589
"Myotis nattereri (Kuhl 1817)",41.717878999999996,-6.8157559999999995
"Myotis nattereri (Kuhl 1817)",41.293031,-7.3865289999999995
"Myotis nattereri (Kuhl 1817)",41.253997999999996,-7.404725999999999
"Myotis nattereri (Kuhl 1817)",41.395463,-7.1143410000000005
"Myotis nattereri (Kuhl 1817)",41.395737,-7.114814999999999
"Myotis nattereri (Kuhl 1817)",41.396649,-7.113267
"Myotis nattereri (Kuhl 1817)",41.396776,-7.1131850000000005
"Myotis nattereri (Kuhl 1817)",41.400141999999995,-7.11326
"Myotis nattereri (Kuhl 1817)",41.286712,-7.587633
"Myotis nattereri (Kuhl 1817)",41.302627,-7.573638000000001
"Myotis nattereri (Kuhl 1817)",41.303032,-7.575497
"Myotis nattereri (Kuhl 1817)",41.287558000000004,-7.581908
"Myotis nattereri (Kuhl 1817)",41.280167,-7.3898470000000005
"Myotis nattereri (Kuhl 1817)",41.308316999999995,-7.586844
"Myotis nattereri (Kuhl 1817)",41.389178,-7.2016089999999995
"Myotis nattereri (Kuhl 1817)",41.387345,-7.205493
"Myotis nattereri (Kuhl 1817)",41.408009,-7.109792
"Myotis nattereri (Kuhl 1817)",41.443833000000005,-7.121771000000001
"Myotis nattereri (Kuhl 1817)",41.444198,-7.1254029999999995
"Myotis nattereri (Kuhl 1817)",41.444244,-7.125661
"Myotis nattereri (Kuhl 1817)",41.444221999999996,-7.126167999999999
"Myotis nattereri (Kuhl 1817)",50.436188,8.119917
"Myotis nattereri (Kuhl 1817)",44.532032,8.786863
"Myotis nattereri (Kuhl 1817)",44.4316,8.745088
"Myotis nattereri (Kuhl 1817)",53.05542,-2.30357
"Myotis nattereri (Kuhl 1817)",55.94,-5.55
"Myotis nattereri (Kuhl 1817)",51.90537,-1.6953599999999998
"Myotis nattereri (Kuhl 1817)",54.592459999999996,-2.9399
"Myotis nattereri (Kuhl 1817)",51.45325,-1.13574
"Myotis nattereri (Kuhl 1817)",52.51645,-2.08137
"Myotis nattereri (Kuhl 1817)",51.84706,-2.09576
"Myotis nattereri (Kuhl 1817)",54.956759999999996,-1.6970299999999998
"Myotis nattereri (Kuhl 1817)",53.251490000000004,-1.74292
"Myotis nattereri (Kuhl 1817)",53.54291,-1.8281599999999998
"Myotis nattereri (Kuhl 1817)",51.24365,1.22726
"Myotis nattereri (Kuhl 1817)",54.092969999999994,-2.2711200000000002
"Myotis nattereri (Kuhl 1817)",50.87273,0.34451
"Myotis nattereri (Kuhl 1817)",53.249230000000004,-1.7391900000000002
"Myotis nattereri (Kuhl 1817)",51.19758,-4.1697
"Myotis nattereri (Kuhl 1817)",50.92484,-0.75862
"Myotis nattereri (Kuhl 1817)",52.118790000000004,-2.25627
"Myotis nattereri (Kuhl 1817)",50.42617,-4.05349
"Myotis nattereri (Kuhl 1817)",50.9931,-1.3528
"Myotis nattereri (Kuhl 1817)",51.460370000000005,-2.27725
"Myotis nattereri (Kuhl 1817)",50.57935,-4.88984
"Myotis nattereri (Kuhl 1817)",54.95319,-3.2136
"Myotis nattereri (Kuhl 1817)",50.99913,0.31803000000000003
"Myotis nattereri (Kuhl 1817)",56.52,-5.34
"Myotis nattereri (Kuhl 1817)",50.769812,-1.779509
"Myotis nattereri (Kuhl 1817)",50.87095,-1.07123
"Myotis nattereri (Kuhl 1817)",52.03366,-2.01963
"Myotis nattereri (Kuhl 1817)",50.89239,-0.20914000000000002
"Myotis nattereri (Kuhl 1817)",52.24941,-2.06514
"Myotis nattereri (Kuhl 1817)",50.87301,0.34381999999999996
"Myotis nattereri (Kuhl 1817)",54.95301,-3.21375
"Myotis nattereri (Kuhl 1817)",50.91291,0.18819
"Myotis nattereri (Kuhl 1817)",52.853609999999996,-1.69701
"Myotis nattereri (Kuhl 1817)",52.25115,-2.1295900000000003
"Myotis nattereri (Kuhl 1817)",50.89499,-1.29256
"Myotis nattereri (Kuhl 1817)",52.20407,-2.30797
"Myotis nattereri (Kuhl 1817)",51.15351,-0.20356
"Myotis nattereri (Kuhl 1817)",51.95087,-1.86827
"Myotis nattereri (Kuhl 1817)",51.034279999999995,-1.58102
"Myotis nattereri (Kuhl 1817)",50.9668,-0.48863
"Myotis nattereri (Kuhl 1817)",54.639019999999995,-2.8625
"Myotis nattereri (Kuhl 1817)",50.8985,0.68857
"Myotis nattereri (Kuhl 1817)",52.5487,-0.9164
"Myotis nattereri (Kuhl 1817)",56.13,-5.49
"Myotis nattereri (Kuhl 1817)",50.74051,0.20459000000000002
"Myotis nattereri (Kuhl 1817)",50.80151,-0.8701700000000001
"Myotis nattereri (Kuhl 1817)",50.836729999999996,-0.5393399999999999
"Myotis nattereri (Kuhl 1817)",50.97248,-1.31987
"Myotis nattereri (Kuhl 1817)",50.96732,0.19538
"Myotis nattereri (Kuhl 1817)",50.106190000000005,-5.09903
"Myotis nattereri (Kuhl 1817)",50.87068,-0.52123
"Myotis nattereri (Kuhl 1817)",50.92653,-0.14949
"Myotis nattereri (Kuhl 1817)",51.146786,-1.0267549999999999
"Myotis nattereri (Kuhl 1817)",51.03072,-0.51899
"Myotis nattereri (Kuhl 1817)",50.86772,0.34298
"Myotis nattereri (Kuhl 1817)",51.03517,-0.15223
"Myotis nattereri (Kuhl 1817)",50.926840000000006,-0.28751
"Myotis nattereri (Kuhl 1817)",51.02187,-0.11325999999999999
"Myotis nattereri (Kuhl 1817)",50.855940000000004,0.5837399999999999
"Myotis nattereri (Kuhl 1817)",51.9047,-1.69544
"Myotis nattereri (Kuhl 1817)",54.507628000000004,-3.525089
"Myotis nattereri (Kuhl 1817)",50.94475,-1.34448
"Myotis nattereri (Kuhl 1817)",51.94545,-2.35785
"Myotis nattereri (Kuhl 1817)",51.032579999999996,-0.5232100000000001
"Myotis nattereri (Kuhl 1817)",52.92369,-2.64773
"Myotis nattereri (Kuhl 1817)",51.00253,0.5434100000000001
"Myotis nattereri (Kuhl 1817)",50.90858,-0.81211
"Myotis nattereri (Kuhl 1817)",54.270599,-2.788807
"Myotis nattereri (Kuhl 1817)",50.84637,-0.5916
"Myotis nattereri (Kuhl 1817)",50.7549,-2.1821099999999998
"Myotis nattereri (Kuhl 1817)",52.6,-3.1
"Myotis nattereri (Kuhl 1817)",51.577329999999996,-2.09519
"Myotis nattereri (Kuhl 1817)",52.19255,-1.7607700000000002
"Myotis nattereri (Kuhl 1817)",54.342319999999994,-2.94749
"Myotis nattereri (Kuhl 1817)",54.22100699999999,-2.697489
"Myotis nattereri (Kuhl 1817)",50.8641,0.20829
"Myotis nattereri (Kuhl 1817)",51.04094,-0.28309
"Myotis nattereri (Kuhl 1817)",52.32186,-2.30292
"Myotis nattereri (Kuhl 1817)",50.87905,-1.07107
"Myotis nattereri (Kuhl 1817)",50.89882,0.68233
"Myotis nattereri (Kuhl 1817)",52.92941,-3.09412
"Myotis nattereri (Kuhl 1817)",53.006640000000004,-2.55576
"Myotis nattereri (Kuhl 1817)",52.761596999999995,-0.7520789999999999
"Myotis nattereri (Kuhl 1817)",52.2,-4.0
"Myotis nattereri (Kuhl 1817)",50.8649,-0.63375
"Myotis nattereri (Kuhl 1817)",50.6675,-4.2287300000000005
"Myotis nattereri (Kuhl 1817)",51.20149,-2.30072
"Myotis nattereri (Kuhl 1817)",51.75546,-1.09543
"Myotis nattereri (Kuhl 1817)",52.479569999999995,-0.8401200000000001
"Myotis nattereri (Kuhl 1817)",52.28335,0.9149
"Myotis nattereri (Kuhl 1817)",51.54932,-1.14984
"Myotis nattereri (Kuhl 1817)",52.02304,-2.93785
"Myotis nattereri (Kuhl 1817)",54.32479,-0.94821
"Myotis nattereri (Kuhl 1817)",52.563559999999995,1.02318
"Myotis nattereri (Kuhl 1817)",52.89897,1.23224
"Myotis nattereri (Kuhl 1817)",53.17717,-1.6797799999999998
"Myotis nattereri (Kuhl 1817)",53.98636,-0.51454
"Myotis nattereri (Kuhl 1817)",50.96273,-2.86286
"Myotis nattereri (Kuhl 1817)",54.5423,-1.40642
"Myotis nattereri (Kuhl 1817)",50.695440000000005,-2.40488
"Myotis nattereri (Kuhl 1817)",52.49536,0.87845
"Myotis nattereri (Kuhl 1817)",50.73956,-4.13429
