SPECIES,LATITUDE,LONGITUDE
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.288098,-7.581844
M.nattereri,41.288098,-7.581844
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.307589,-7.587077000000001
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.307589,-7.587077000000001
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.307589,-7.587077000000001
M.nattereri,41.307589,-7.587077000000001
M.nattereri,41.307589,-7.587077000000001
M.nattereri,41.305293,-7.5757639999999995
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307589,-7.587077000000001
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.307017,-7.587858
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.307017,-7.587858
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
